helysegnev;tipus;megye;Járás neve;Járás székhelye;terulet;lakossag;lakosokszama
Mátranovák;község;Nógrád;Bátonyterenyei;Bátonyterenye;2 697;1521;1042
Mátraszele;község;Nógrád;Salgótarjáni;Salgótarján;1 697;889;465
Mátraszentimre;község;Heves;Gyöngyösi;Gyöngyös;2 129;457;319
Mátraszőlős;község;Nógrád;Pásztói;Pásztó;2 917;1450;663
Mátraterenye;község;Nógrád;Bátonyterenyei;Bátonyterenye;2 813;1662;875
Mátraverebély;község;Nógrád;Bátonyterenyei;Bátonyterenye;1 840;1739;811
Mátyásdomb;község;Fejér;Enyingi;Enying;3 539;703;279
Matty;község;Baranya;Siklósi;Siklós;1 690;303;141
Mátyus;község;Szabolcs-Szatmár-Bereg;Vásárosnaményi;Vásárosnamény;1 103;253;130
Máza;község;Baranya;Komlói;Komló;1 069;1110;485
Mecseknádasd;község;Baranya;Pécsváradi;Pécsvárad;3 608;1482;665
Mecsekpölöske;község;Baranya;Komlói;Komló;731;375;156
Mecsér;község;Győr-Moson-Sopron;Mosonmagyaróvári;Mosonmagyaróvár;2 109;650;308
Medgyesbodzás;község;Békés;Mezőkovácsházai;Mezőkovácsháza;3 167;876;534
Medgyesegyháza;város;Békés;Mezőkovácsházai;Mezőkovácsháza;6 429;3146;1808
Medina;község;Tolna;Szekszárdi;Szekszárd;2 224;688;327
Megyaszó;község;Borsod-Abaúj-Zemplén;Szerencsi;Szerencs;5 342;2577;828
Megyehíd;község;Vas;Sárvári;Sárvár;599;307;121
Megyer;község;Veszprém;Sümegi;Sümeg;426;29;25
Meggyeskovácsi;község;Vas;Sárvári;Sárvár;2 464;720;341
Méhkerék;község;Békés;Sarkadi;Sarkad;2 585;1874;843
Méhtelek;község;Szabolcs-Szatmár-Bereg;Fehérgyarmati;Fehérgyarmat;863;650;274
Mekényes;község;Baranya;Hegyháti;Sásd;1 777;251;137
Mélykút;város;Bács-Kiskun;Jánoshalmai;Jánoshalma;12 347;4608;2681
Mencshely;község;Veszprém;Veszprémi;Veszprém;1 261;301;137
Mende;község;Pest;Nagykátai;Nagykáta;2 715;4127;1509
Méra;község;Borsod-Abaúj-Zemplén;Encsi;Encs;1 512;1522;561
Merenye;község;Baranya;Szigetvári;Szigetvár;1 447;245;122
Mérges;község;Győr-Moson-Sopron;Téti;Tét;651;107;53
Mérk;nagyközség;Szabolcs-Szatmár-Bereg;Mátészalkai;Mátészalka;2 508;1940;785
Mernye;község;Somogy;Kaposvári;Kaposvár;2 593;1301;544
Mersevát;község;Vas;Celldömölki;Celldömölk;1 054;554;236
Mesterháza;község;Vas;Sárvári;Sárvár;419;140;78
Mesteri;község;Vas;Celldömölki;Celldömölk;1 169;265;150
Mesterszállás;község;Jász-Nagykun-Szolnok;Mezőtúri;Mezőtúr;4 292;618;373
Meszes;község;Borsod-Abaúj-Zemplén;Edelényi;Edelény;1 140;154;117
Meszlen;község;Vas;Szombathelyi;Szombathely;1 202;205;96
Mesztegnyő;község;Somogy;Marcali;Marcali;4 471;1279;557
Mezőberény;város;Békés;Békési;Békés;11 853;9537;4457
Mezőcsát;város;Borsod-Abaúj-Zemplén;Mezőcsáti;Mezőcsát;10 309;5657;2400
Mezőcsokonya;község;Somogy;Kaposvári;Kaposvár;3 078;1145;444
Meződ;község;Baranya;Hegyháti;Sásd;1 041;123;67
Mezőfalva;nagyközség;Fejér;Dunaújvárosi;Dunaújváros;8 042;4505;1840
Mezőgyán;község;Békés;Sarkadi;Sarkad;5 987;877;469
Mezőhegyes;város;Békés;Mezőkovácsházai;Mezőkovácsháza;15 544;4393;2833
Mezőhék;község;Jász-Nagykun-Szolnok;Mezőtúri;Mezőtúr;8 982;343;168
Mezőkeresztes;város;Borsod-Abaúj-Zemplén;Mezőkövesdi;Mezőkövesd;7 426;3545;1613
Mezőkomárom;község;Fejér;Enyingi;Enying;2 905;857;401
Mezőkovácsháza;város;Békés;Mezőkovácsházai;Mezőkovácsháza;6 259;5335;2878
Mezőkövesd;város;Borsod-Abaúj-Zemplén;Mezőkövesdi;Mezőkövesd;10 049;15588;7638
Mezőladány;község;Szabolcs-Szatmár-Bereg;Kisvárdai;Kisvárda;1 407;921;338
Mezőlak;község;Veszprém;Pápai;Pápa;2 158;945;390
Mezőnagymihály;község;Borsod-Abaúj-Zemplén;Mezőkövesdi;Mezőkövesd;6 186;902;490
Mezőnyárád;község;Borsod-Abaúj-Zemplén;Mezőkövesdi;Mezőkövesd;1 406;1512;689
Mezőörs;község;Győr-Moson-Sopron;Győri;Győr;4 848;961;351
Mezőpeterd;község;Hajdú-Bihar;Berettyóújfalui;Berettyóújfalu;1 823;515;263
Mezősas;község;Hajdú-Bihar;Berettyóújfalui;Berettyóújfalu;2 639;587;291
Mezőszemere;község;Heves;Füzesabonyi;Füzesabony;2 148;1041;576
Mezőszentgyörgy;község;Fejér;Enyingi;Enying;2 712;1279;448
Mezőszilas;község;Fejér;Sárbogárdi;Sárbogárd;6 497;1989;809
Mezőtárkány;község;Heves;Füzesabonyi;Füzesabony;4 061;1514;656
Mezőtúr;város;Jász-Nagykun-Szolnok;Mezőtúri;Mezőtúr;28 972;15644;7705
Mezőzombor;község;Borsod-Abaúj-Zemplén;Szerencsi;Szerencs;3 879;2212;839
Miháld;község;Zala;Nagykanizsai;Nagykanizsa;2 164;665;347
Mihályfa;község;Zala;Zalaszentgróti;Zalaszentgrót;1 207;339;175
Mihálygerge;község;Nógrád;Salgótarjáni;Salgótarján;1 106;505;282
Mihályháza;község;Veszprém;Pápai;Pápa;2 152;692;308
Mihályi;község;Győr-Moson-Sopron;Kapuvári;Kapuvár;1 628;1042;459
Mike;község;Somogy;Kaposvári;Kaposvár;3 241;582;243
Mikebuda;község;Pest;Ceglédi;Cegléd;4 217;668;313
Mikekarácsonyfa;község;Zala;Lenti;Lenti;850;310;138
Mikepércs;község;Hajdú-Bihar;Derecskei;Derecske;3 693;5234;1860
Miklósi;község;Somogy;Tabi;Tab;1 047;188;123
Mikófalva;község;Heves;Bélapátfalvai;Bélapátfalva;1 441;648;314
Mikóháza;község;Borsod-Abaúj-Zemplén;Sátoraljaújhelyi;Sátoraljaújhely;1 691;507;240
Mikosszéplak;község;Vas;Vasvári;Vasvár;1 866;316;150
Milejszeg;község;Zala;Zalaegerszegi;Zalaegerszeg;908;305;144
Milota;község;Szabolcs-Szatmár-Bereg;Fehérgyarmati;Fehérgyarmat;1 539;873;313
Mindszent;város;Csongrád-Csanád;Hódmezővásárhelyi;Hódmezővásárhely;5 935;6298;3159
Mindszentgodisa;község;Baranya;Hegyháti;Sásd;2 297;736;343
Mindszentkálla;község;Veszprém;Tapolcai;Tapolca;1 084;224;141
Misefa;község;Zala;Zalaegerszegi;Zalaegerszeg;651;261;121
Miske;község;Bács-Kiskun;Kalocsai;Kalocsa;4 227;1609;696
Miskolc;megyeszékhely, megyei jogú város;Borsod-Abaúj-Zemplén;Miskolci;Miskolc;23 667;145248;79052
Miszla;község;Tolna;Tamási;Tamási;3 472;255;176
Mocsa;község;Komárom-Esztergom;Komáromi;Komárom;6 719;2108;826
Mogyoród;nagyközség;Pest;Gödöllői;Gödöllő;3 449;7974;3136
Mogyorósbánya;község;Komárom-Esztergom;Esztergomi;Esztergom;732;863;331
Mogyoróska;község;Borsod-Abaúj-Zemplén;Gönci;Gönc;1 917;77;113
Moha;község;Fejér;Székesfehérvári;Székesfehérvár;988;571;258
Mohács;város;Baranya;Mohácsi;Mohács;11 223;17315;8523
Mohora;község;Nógrád;Balassagyarmati;Balassagyarmat;1 595;922;367
Molnári;község;Zala;Letenyei;Letenye;1 286;627;264
Molnaszecsőd;község;Vas;Körmendi;Körmend;1 169;402;183
Molvány;község;Baranya;Szigetvári;Szigetvár;1 376;168;82
Monaj;község;Borsod-Abaúj-Zemplén;Szikszói;Szikszó;1 153;249;99
Monok;község;Borsod-Abaúj-Zemplén;Szerencsi;Szerencs;4 196;1416;768
Monor;város;Pest;Monori;Monor;4 679;19020;6950
Monorierdő;község;Pest;Monori;Monor;1 507;5075;1878
Mónosbél;község;Heves;Bélapátfalvai;Bélapátfalva;1 378;391;143
Monostorapáti;község;Veszprém;Tapolcai;Tapolca;2 559;1097;487
Monostorpályi;község;Hajdú-Bihar;Derecskei;Derecske;4 444;2123;941
Monoszló;község;Veszprém;Balatonfüredi;Balatonfüred;746;103;64
Monyoród;község;Baranya;Bólyi;Bóly;712;177;93
Mór;város;Fejér;Móri;Mór;10 861;13547;5750
Mórágy;község;Tolna;Bonyhádi;Bonyhád;1 761;658;296
Mórahalom;város;Csongrád-Csanád;Mórahalmi;Mórahalom;8 314;6227;2794
Móricgát;község;Bács-Kiskun;Kiskunmajsai;Kiskunmajsa;3 289;411;289
Mórichida;község;Győr-Moson-Sopron;Téti;Tét;3 231;807;352
Mosdós;község;Somogy;Kaposvári;Kaposvár;1 695;848;324
Mosonmagyaróvár;város;Győr-Moson-Sopron;Mosonmagyaróvári;Mosonmagyaróvár;8 378;34226;16340
Mosonszentmiklós;község;Győr-Moson-Sopron;Győri;Győr;3 071;2594;1002
Mosonszolnok;község;Győr-Moson-Sopron;Mosonmagyaróvári;Mosonmagyaróvár;4 392;1815;634
Mosonudvar;község;Győr-Moson-Sopron;Mosonmagyaróvári;Mosonmagyaróvár;157;403;155
Mozsgó;község;Baranya;Szigetvári;Szigetvár;2 176;879;338
Mőcsény;község;Tolna;Bonyhádi;Bonyhád;1 215;322;143
Mucsfa;község;Tolna;Bonyhádi;Bonyhád;1 275;290;148
Mucsi;község;Tolna;Tamási;Tamási;2 476;406;199
Múcsony;nagyközség;Borsod-Abaúj-Zemplén;Kazincbarcikai;Kazincbarcika;1 755;2705;1187
Muhi;község;Borsod-Abaúj-Zemplén;Tiszaújvárosi;Tiszaújváros;962;475;206
Murakeresztúr;község;Zala;Nagykanizsai;Nagykanizsa;1 172;1525;686
Murarátka;község;Zala;Letenyei;Letenye;1 204;217;128
Muraszemenye;község;Zala;Letenyei;Letenye;1 615;496;273
Murga;község;Tolna;Bonyhádi;Bonyhád;659;45;49
Murony;község;Békés;Békési;Békés;3 568;1113;546
Nábrád;község;Szabolcs-Szatmár-Bereg;Fehérgyarmati;Fehérgyarmat;1 764;857;366
Nadap;község;Fejér;Gárdonyi;Gárdony;693;765;313
Nádasd;község;Vas;Körmendi;Körmend;3 560;1289;599
Nádasdladány;község;Fejér;Székesfehérvári;Székesfehérvár;2 635;1700;625
Nádudvar;város;Hajdú-Bihar;Hajdúszoboszlói;Hajdúszoboszló;22 591;8164;3627
Nágocs;község;Somogy;Tabi;Tab;2 226;565;263
Nagyacsád;község;Veszprém;Pápai;Pápa;1 396;598;250
Nagyalásony;község;Veszprém;Devecseri;Devecser;1 401;486;203
Nagyar;község;Szabolcs-Szatmár-Bereg;Fehérgyarmati;Fehérgyarmat;1 599;633;280
Nagyatád;város;Somogy;Nagyatádi;Nagyatád;7 060;9508;4870
Nagybajcs;község;Győr-Moson-Sopron;Győri;Győr;765;1188;462
Nagybajom;város;Somogy;Kaposvári;Kaposvár;10 806;3208;1128
Nagybakónak;község;Zala;Nagykanizsai;Nagykanizsa;1 794;361;215
Nagybánhegyes;község;Békés;Mezőkovácsházai;Mezőkovácsháza;4 224;1050;780
Nagybaracska;község;Bács-Kiskun;Bajai;Baja;3 795;2034;1010
Nagybarca;község;Borsod-Abaúj-Zemplén;Kazincbarcikai;Kazincbarcika;1 439;833;354
Nagybárkány;község;Nógrád;Salgótarjáni;Salgótarján;884;647;242
Nagyberény;község;Somogy;Siófoki;Siófok;2 314;1285;594
Nagyberki;község;Somogy;Kaposvári;Kaposvár;2 174;1317;506
Nagybörzsöny;község;Pest;Szobi;Szob;5 065;577;358
Nagybudmér;község;Baranya;Bólyi;Bóly;1 022;161;78
Nagycenk;nagyközség;Győr-Moson-Sopron;Soproni;Sopron;1 945;2684;1027
Nagycsány;község;Baranya;Sellyei;Sellye;565;130;43
Nagycsécs;község;Borsod-Abaúj-Zemplén;Tiszaújvárosi;Tiszaújváros;983;753;283
Nagycsepely;község;Somogy;Siófoki;Siófok;1 980;360;184
Nagycserkesz;község;Szabolcs-Szatmár-Bereg;Nyíregyházi;Nyíregyháza;4 148;1559;642
Nagydém;község;Veszprém;Pápai;Pápa;1 332;352;167
Nagydobos;község;Szabolcs-Szatmár-Bereg;Mátészalkai;Mátészalka;2 693;2111;735
Nagydobsza;község;Baranya;Szigetvári;Szigetvár;1 323;519;227
Nagydorog;nagyközség;Tolna;Paksi;Paks;4 144;2462;1063
Nagyecsed;város;Szabolcs-Szatmár-Bereg;Mátészalkai;Mátészalka;4 385;5969;2291
Nagyér;község;Csongrád-Csanád;Makói;Makó;1 229;481;239
Nagyesztergár;község;Veszprém;Zirci;Zirc;1 829;1088;403
Nagyfüged;község;Heves;Gyöngyösi;Gyöngyös;2 751;1746;695
Nagygeresd;község;Vas;Sárvári;Sárvár;940;260;144
Nagygörbő;község;Zala;Zalaszentgróti;Zalaszentgrót;745;163;99
Nagygyimót;község;Veszprém;Pápai;Pápa;2 344;499;249
Nagyhajmás;község;Baranya;Hegyháti;Sásd;1 801;278;131
Nagyhalász;város;Szabolcs-Szatmár-Bereg;Ibrányi;Ibrány;4 430;5329;1949
Nagyharsány;község;Baranya;Siklósi;Siklós;2 601;1362;516
Nagyhegyes;község;Hajdú-Bihar;Hajdúszoboszlói;Hajdúszoboszló;13 277;2847;1109
Nagyhódos;község;Szabolcs-Szatmár-Bereg;Fehérgyarmati;Fehérgyarmat;764;118;84
Nagyhuta;község;Borsod-Abaúj-Zemplén;Sátoraljaújhelyi;Sátoraljaújhely;3 506;79;36
Nagyigmánd;nagyközség;Komárom-Esztergom;Komáromi;Komárom;5 135;2702;1156
Nagyiván;község;Jász-Nagykun-Szolnok;Tiszafüredi;Tiszafüred;4 316;1027;493
Nagykálló;város;Szabolcs-Szatmár-Bereg;Nagykállói;Nagykálló;6 851;9134;3631
Nagykamarás;község;Békés;Mezőkovácsházai;Mezőkovácsháza;4 310;1114;782
Nagykanizsa;megyei jogú város;Zala;Nagykanizsai;Nagykanizsa;14 840;43188;23497
Nagykapornak;község;Zala;Zalaegerszegi;Zalaegerszeg;2 441;909;373
Nagykarácsony;község;Fejér;Dunaújvárosi;Dunaújváros;3 046;1308;593
Nagykáta;város;Pest;Nagykátai;Nagykáta;8 161;11985;4943
Nagykereki;község;Hajdú-Bihar;Berettyóújfalui;Berettyóújfalu;3 727;1118;470
Nagykeresztúr;község;Nógrád;Salgótarjáni;Salgótarján;820;243;102
Nagykinizs;község;Borsod-Abaúj-Zemplén;Szikszói;Szikszó;658;297;122
Nagykónyi;község;Tolna;Tamási;Tamási;4 788;965;496
Nagykorpád;község;Somogy;Nagyatádi;Nagyatád;3 342;498;219
Nagykovácsi;nagyközség;Pest;Budakeszi;Budakeszi;2 767;8789;3060
Nagykozár;község;Baranya;Pécsi;Pécs;1 146;1984;709
Nagykökényes;község;Heves;Hatvani;Hatvan;1 728;553;262
Nagykölked;község;Vas;Körmendi;Körmend;978;168;70
Nagykőrös;város;Pest;Nagykőrösi;Nagykőrös;22 794;23052;10735
Nagykörű;község;Jász-Nagykun-Szolnok;Szolnoki;Szolnok;4 281;1581;918
Nagykutas;község;Zala;Zalaegerszegi;Zalaegerszeg;845;462;181
Nagylak;község;Csongrád-Csanád;Makói;Makó;469;365;297
Nagylengyel;község;Zala;Zalaegerszegi;Zalaegerszeg;1 024;502;205
Nagylóc;község;Nógrád;Szécsényi;Szécsény;3 912;1397;683
Nagylók;község;Fejér;Sárbogárdi;Sárbogárd;3 244;988;457
Nagylózs;község;Győr-Moson-Sopron;Soproni;Sopron;1 924;977;321
Nagymágocs;nagyközség;Csongrád-Csanád;Szentesi;Szentes;7 509;2701;1235
Nagymányok;város;Tolna;Bonyhádi;Bonyhád;1 068;2103;915
Nagymaros;város;Pest;Szobi;Szob;3 437;5085;2300
Nagymizdó;község;Vas;Körmendi;Körmend;676;119;71
Nagynyárád;község;Baranya;Mohácsi;Mohács;2 434;632;316
Nagyoroszi;község;Nógrád;Rétsági;Rétság;4 003;1961;840
Nagypáli;község;Zala;Zalaegerszegi;Zalaegerszeg;632;572;209
Nagypall;község;Baranya;Pécsváradi;Pécsvárad;713;354;149
Nagypeterd;község;Baranya;Szigetvári;Szigetvár;1 163;641;249
Nagypirit;község;Veszprém;Devecseri;Devecser;1 017;223;153
Nagyrábé;nagyközség;Hajdú-Bihar;Püspökladányi;Püspökladány;8 542;1862;925
Nagyrada;község;Zala;Nagykanizsai;Nagykanizsa;1 285;425;204
Nagyrákos;község;Vas;Körmendi;Körmend;1 611;247;139
Nagyrécse;község;Zala;Nagykanizsai;Nagykanizsa;2 699;1108;436
Nagyréde;nagyközség;Heves;Gyöngyösi;Gyöngyös;3 434;3131;1259
Nagyrév;község;Jász-Nagykun-Szolnok;Kunszentmártoni;Kunszentmárton;2 979;610;378
Nagyrozvágy;község;Borsod-Abaúj-Zemplén;Cigándi;Cigánd;2 681;592;275
Nagysáp;község;Komárom-Esztergom;Esztergomi;Esztergom;2 478;1401;489
Nagysimonyi;község;Vas;Celldömölki;Celldömölk;1 567;940;421
Nagyszakácsi;község;Somogy;Marcali;Marcali;2 137;434;266
Nagyszékely;község;Tolna;Tamási;Tamási;3 671;380;229
Nagyszekeres;község;Szabolcs-Szatmár-Bereg;Fehérgyarmati;Fehérgyarmat;1 051;453;200
Nagyszénás;nagyközség;Békés;Orosházi;Orosháza;9 556;4416;2281
Nagyszentjános;község;Győr-Moson-Sopron;Győri;Győr;3 030;1887;710
Nagyszokoly;község;Tolna;Tamási;Tamási;2 799;870;415
Nagytálya;község;Heves;Egri;Eger;1 319;874;355
Nagytarcsa;község;Pest;Gödöllői;Gödöllő;1 214;6323;2364
Nagytevel;község;Veszprém;Pápai;Pápa;1 441;521;220
Nagytilaj;község;Vas;Vasvári;Vasvár;1 566;145;132
Nagytótfalu;község;Baranya;Siklósi;Siklós;1 117;298;129
Nagytőke;község;Csongrád-Csanád;Szentesi;Szentes;5 468;359;222
Nagyút;község;Heves;Füzesabonyi;Füzesabony;1 894;667;338
Nagyvarsány;község;Szabolcs-Szatmár-Bereg;Vásárosnaményi;Vásárosnamény;1 255;1273;541
Nagyváty;község;Baranya;Szigetvári;Szigetvár;1 267;287;130
Nagyvázsony;község;Veszprém;Veszprémi;Veszprém;7 629;1680;673
Nagyvejke;község;Tolna;Bonyhádi;Bonyhád;777;147;93
Nagyveleg;község;Fejér;Móri;Mór;1 317;624;277
Nagyvenyim;nagyközség;Fejér;Dunaújvárosi;Dunaújváros;4 368;4331;1587
Nagyvisnyó;község;Heves;Bélapátfalvai;Bélapátfalva;4 302;825;496
Nak;község;Tolna;Dombóvári;Dombóvár;2 778;469;271
Napkor;nagyközség;Szabolcs-Szatmár-Bereg;Nyíregyházi;Nyíregyháza;3 735;3607;1337
Nárai;község;Vas;Szombathelyi;Szombathely;1 599;1505;533
Narda;község;Vas;Szombathelyi;Szombathely;1 035;510;200
Naszály;község;Komárom-Esztergom;Tatai;Tata;3 022;2369;894
Négyes;község;Borsod-Abaúj-Zemplén;Mezőkövesdi;Mezőkövesd;1 732;248;219
Nekézseny;község;Borsod-Abaúj-Zemplén;Ózdi;Ózd;1 410;624;330
Nemesapáti;község;Zala;Zalaegerszegi;Zalaegerszeg;1 037;486;218
Nemesbikk;község;Borsod-Abaúj-Zemplén;Tiszaújvárosi;Tiszaújváros;2 410;885;371
Nemesborzova;község;Szabolcs-Szatmár-Bereg;Fehérgyarmati;Fehérgyarmat;220;113;41
Nemesbőd;község;Vas;Szombathelyi;Szombathely;914;635;253
Nemesbük;község;Zala;Keszthelyi;Keszthely;998;757;421
Nemescsó;község;Vas;Kőszegi;Kőszeg;738;314;124
Nemesdéd;község;Somogy;Marcali;Marcali;2 661;819;313
Nemesgörzsöny;község;Veszprém;Pápai;Pápa;1 925;621;297
Nemesgulács;község;Veszprém;Tapolcai;Tapolca;835;927;382
Nemeshany;község;Veszprém;Sümegi;Sümeg;1 050;331;160
Nemeshetés;község;Zala;Zalaegerszegi;Zalaegerszeg;661;294;196
Nemeske;község;Baranya;Szigetvári;Szigetvár;1 057;220;109
Nemeskér;község;Győr-Moson-Sopron;Soproni;Sopron;642;194;98
Nemeskeresztúr;község;Vas;Celldömölki;Celldömölk;1 217;278;159
Nemeskisfalud;község;Somogy;Marcali;Marcali;282;133;42
Nemeskocs;község;Vas;Celldömölki;Celldömölk;793;329;145
Nemeskolta;község;Vas;Szombathelyi;Szombathely;734;372;139
Nemesládony;község;Vas;Sárvári;Sárvár;567;163;95
Nemesmedves;község;Vas;Szentgotthárdi;Szentgotthárd;474;23;15
Nemesnádudvar;község;Bács-Kiskun;Bajai;Baja;5 878;1636;732
Nemesnép;község;Zala;Lenti;Lenti;972;117;72
Nemespátró;község;Zala;Nagykanizsai;Nagykanizsa;1 225;245;149
Nemesrádó;község;Zala;Zalaegerszegi;Zalaegerszeg;1 402;306;174
Nemesrempehollós;község;Vas;Körmendi;Körmend;1 205;255;149
Nemessándorháza;község;Zala;Zalaegerszegi;Zalaegerszeg;1 115;300;160
Nemesvámos;község;Veszprém;Veszprémi;Veszprém;4 078;3031;1019
Nemesvid;község;Somogy;Marcali;Marcali;1 838;610;345
Nemesvita;község;Veszprém;Tapolcai;Tapolca;925;346;193
Nemesszalók;község;Veszprém;Pápai;Pápa;2 056;803;360
Nemesszentandrás;község;Zala;Zalaegerszegi;Zalaegerszeg;546;252;126
Németbánya;község;Veszprém;Pápai;Pápa;1 219;111;82
Németfalu;község;Zala;Zalaegerszegi;Zalaegerszeg;867;191;71
Németkér;község;Tolna;Paksi;Paks;6 497;1539;757
Nemti;község;Nógrád;Bátonyterenyei;Bátonyterenye;1 106;664;428
Neszmély;község;Komárom-Esztergom;Tatai;Tata;2 772;1349;583
Nézsa;község;Nógrád;Rétsági;Rétság;1 867;1199;495
Nick;község;Vas;Sárvári;Sárvár;1 140;540;288
Nikla;község;Somogy;Marcali;Marcali;2 335;729;318
Nógrád;község;Nógrád;Rétsági;Rétság;2 954;1625;735
Nógrádkövesd;község;Nógrád;Balassagyarmati;Balassagyarmat;899;606;293
Nógrádmarcal;község;Nógrád;Balassagyarmati;Balassagyarmat;1 993;445;199
Nógrádmegyer;község;Nógrád;Szécsényi;Szécsény;2 277;1555;575
Nógrádsáp;község;Nógrád;Rétsági;Rétság;1 547;902;376
Nógrádsipek;község;Nógrád;Szécsényi;Szécsény;2 012;625;303
Nógrádszakál;község;Nógrád;Szécsényi;Szécsény;1 872;588;249
Nóráp;község;Veszprém;Pápai;Pápa;758;199;98
Noszlop;község;Veszprém;Devecseri;Devecser;3 406;979;415
Noszvaj;község;Heves;Egri;Eger;1 884;1877;786
Nova;község;Zala;Lenti;Lenti;3 929;742;351
Novaj;község;Heves;Egri;Eger;1 852;1300;562
Novajidrány;község;Borsod-Abaúj-Zemplén;Encsi;Encs;1 431;1322;436
Nőtincs;község;Nógrád;Rétsági;Rétság;2 047;1137;526
Nyalka;község;Győr-Moson-Sopron;Pannonhalmi;Pannonhalma;1 286;504;202
Nyárád;község;Veszprém;Pápai;Pápa;1 979;872;350
Nyáregyháza;nagyközség;Pest;Monori;Monor;3 201;3798;1496
Nyárlőrinc;község;Bács-Kiskun;Kecskeméti;Kecskemét;6 636;2289;1009
Nyársapát;község;Pest;Nagykőrösi;Nagykőrös;5 403;2062;866
Nyékládháza;város;Borsod-Abaúj-Zemplén;Miskolci;Miskolc;2 467;5030;2012
Nyergesújfalu;város;Komárom-Esztergom;Esztergomi;Esztergom;3 964;7242;3300
Nyésta;község;Borsod-Abaúj-Zemplén;Szikszói;Szikszó;689;46;28
Nyim;község;Somogy;Siófoki;Siófok;976;311;147
Nyírábrány;nagyközség;Hajdú-Bihar;Nyíradonyi;Nyíradony;5 559;3605;1470
Nyíracsád;község;Hajdú-Bihar;Nyíradonyi;Nyíradony;7 493;3588;1439
Nyirád;község;Veszprém;Ajkai;Ajka;6 136;1777;762
Nyíradony;város;Hajdú-Bihar;Nyíradonyi;Nyíradony;9 657;7285;2633
Nyírbátor;város;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátor;6 674;11388;4827
Nyírbéltek;nagyközség;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátor;6 217;2723;1099
Nyírbogát;város;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátor;5 535;2924;1232
Nyírbogdány;község;Szabolcs-Szatmár-Bereg;Kemecsei;Kemecse;3 503;2685;1021
Nyírcsaholy;község;Szabolcs-Szatmár-Bereg;Mátészalkai;Mátészalka;3 434;2150;828
Nyírcsászári;község;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátor;1 324;1054;410
Nyírderzs;község;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátor;1 701;536;255
Nyíregyháza;megyeszékhely, megyei jogú város;Szabolcs-Szatmár-Bereg;Nyíregyházi;Nyíregyháza;27 454;115711;53710
Nyírgelse;község;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátor;2 762;1018;476
Nyírgyulaj;község;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátor;3 575;1832;764
Nyíri;község;Borsod-Abaúj-Zemplén;Sátoraljaújhelyi;Sátoraljaújhely;1 647;403;182
Nyíribrony;község;Szabolcs-Szatmár-Bereg;Baktalórántházai;Baktalórántháza;2 009;1027;419
Nyírjákó;község;Szabolcs-Szatmár-Bereg;Baktalórántházai;Baktalórántháza;1 034;835;359
Nyírkarász;község;Szabolcs-Szatmár-Bereg;Kisvárdai;Kisvárda;4 143;2199;834
Nyírkáta;község;Szabolcs-Szatmár-Bereg;Mátészalkai;Mátészalka;3 863;1896;636
Nyírkércs;község;Szabolcs-Szatmár-Bereg;Baktalórántházai;Baktalórántháza;1 428;697;301
Nyírlövő;község;Szabolcs-Szatmár-Bereg;Kisvárdai;Kisvárda;791;645;245
Nyírlugos;város;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátor;5 838;2401;1190
Nyírmada;város;Szabolcs-Szatmár-Bereg;Vásárosnaményi;Vásárosnamény;3 880;4652;1544
Nyírmártonfalva;község;Hajdú-Bihar;Nyíradonyi;Nyíradony;5 748;1847;791
Nyírmeggyes;község;Szabolcs-Szatmár-Bereg;Mátészalkai;Mátészalka;2 879;2472;1027
Nyírmihálydi;község;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátor;2 549;2123;642
Nyírparasznya;község;Szabolcs-Szatmár-Bereg;Mátészalkai;Mátészalka;1 476;838;309
Nyírpazony;nagyközség;Szabolcs-Szatmár-Bereg;Nyíregyházi;Nyíregyháza;1 504;3695;1367
Nyírpilis;község;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátor;1 634;955;174
Nyírtass;község;Szabolcs-Szatmár-Bereg;Kisvárdai;Kisvárda;3 795;1794;774
Nyírtelek;város;Szabolcs-Szatmár-Bereg;Nyíregyházi;Nyíregyháza;6 791;6470;2528
Nyírtét;község;Szabolcs-Szatmár-Bereg;Kemecsei;Kemecse;1 718;922;361
Nyírtura;község;Szabolcs-Szatmár-Bereg;Nyíregyházi;Nyíregyháza;2 148;1768;706
Nyírvasvári;község;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátor;2 841;1829;732
Nyomár;község;Borsod-Abaúj-Zemplén;Edelényi;Edelény;1 046;274;131
Nyőgér;község;Vas;Sárvári;Sárvár;1 073;326;169
Nyugotszenterzsébet;község;Baranya;Szigetvári;Szigetvár;923;211;81
Nyúl;község;Győr-Moson-Sopron;Győri;Győr;2 514;4623;1785
Óbánya;község;Baranya;Pécsváradi;Pécsvárad;749;95;70
